 ,Area,Mean,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
312,59.67,255,52.52,30.23,9.05,8.40,48.45,0.77,1.08,0.93,0.93
313,50.11,255,43.43,42.58,8.86,7.20,15.15,0.70,1.23,0.81,0.91
314,81.00,255,37.97,66.15,10.88,9.48,129.25,0.85,1.15,0.87,0.96
315,68.87,255,85.52,84.16,10.98,7.98,44.59,0.74,1.38,0.73,0.93
316,32.69,255,49.49,83.62,7.47,5.57,83.50,0.57,1.34,0.75,0.87
317,31.96,255,71.86,88.73,7.45,5.46,26.27,0.54,1.36,0.73,0.83
318,42.30,255,65.87,28.51,8.89,6.06,175.01,0.39,1.47,0.68,0.78
319,42.44,255,52.70,30.11,8.10,6.67,60.18,0.76,1.21,0.82,0.92
320,44.95,255,43.86,42.53,8.22,6.96,17.80,0.76,1.18,0.85,0.93
321,43.41,255,38.68,55.39,7.85,7.04,53.69,0.82,1.11,0.90,0.93
322,79.85,255,38.04,66.16,10.86,9.36,130.74,0.84,1.16,0.86,0.95
323,56.86,255,85.26,84.15,9.95,7.27,39.65,0.58,1.37,0.73,0.88
324,35.57,255,51.83,83.66,7.57,5.98,112.60,0.36,1.27,0.79,0.76
325,40.06,255,71.95,88.82,8.01,6.37,32.31,0.55,1.26,0.79,0.82
326,45.18,255,44.00,42.54,8.13,7.08,24.55,0.77,1.15,0.87,0.93
327,48.28,255,38.69,55.70,8.19,7.51,66.28,0.77,1.09,0.92,0.92
328,74.48,255,38.22,66.15,10.67,8.89,130.61,0.80,1.20,0.83,0.95
329,30.74,255,51.75,83.39,7.10,5.51,127.83,0.46,1.29,0.78,0.81
330,44.19,255,71.98,88.67,8.29,6.79,40.36,0.46,1.22,0.82,0.80
331,46.86,255,43.98,42.60,8.14,7.33,32.21,0.72,1.11,0.90,0.92
332,53.22,255,38.92,56.11,8.63,7.85,107.00,0.73,1.10,0.91,0.93
333,64.69,255,38.63,66.15,10.27,8.02,119.46,0.73,1.28,0.78,0.92
334,48.65,255,71.88,88.33,8.63,7.18,56.16,0.49,1.20,0.83,0.81
335,43.66,255,44.03,42.57,7.87,7.06,67.02,0.58,1.12,0.90,0.88
336,56.90,255,39.17,56.52,9.10,7.96,117.76,0.81,1.14,0.87,0.94
337,54.18,255,38.86,66.28,9.63,7.16,109.87,0.61,1.35,0.74,0.89
338,39.13,255,44.16,42.33,7.66,6.50,89.02,0.53,1.18,0.85,0.86
339,62.12,255,39.38,57.33,10.12,7.82,100.75,0.64,1.29,0.77,0.90
340,45.12,255,71.29,87.83,8.67,6.62,65.90,0.50,1.31,0.76,0.85
341,58.50,255,39.62,57.56,9.78,7.61,107.93,0.72,1.28,0.78,0.92
342,40.41,255,70.59,87.34,7.95,6.47,62.61,0.47,1.23,0.81,0.81
343,54.35,255,39.82,57.92,9.42,7.34,114.48,0.64,1.28,0.78,0.90
344,51.43,255,40.08,58.25,9.17,7.14,119.70,0.71,1.28,0.78,0.91
345,45.03,255,40.37,58.72,8.47,6.77,124.07,0.73,1.25,0.80,0.92
346,38.56,255,40.68,58.99,7.88,6.23,125.97,0.62,1.26,0.79,0.89
