X,Y,Value
652,611,255
653,611,255
654,611,255
493,612,255
494,612,255
653,612,255
494,613,255
495,613,255
496,613,255
653,613,255
496,614,255
653,614,255
496,615,255
497,615,255
498,615,255
499,615,255
500,615,255
501,615,255
502,615,255
503,615,255
646,615,255
647,615,255
648,615,255
649,615,255
650,615,255
651,615,255
652,615,255
653,615,255
503,616,255
504,616,255
512,616,255
513,616,255
514,616,255
646,616,255
504,617,255
505,617,255
506,617,255
507,617,255
508,617,255
509,617,255
510,617,255
511,617,255
512,617,255
514,617,255
515,617,255
516,617,255
517,617,255
518,617,255
519,617,255
520,617,255
521,617,255
527,617,255
528,617,255
646,617,255
521,618,255
522,618,255
523,618,255
524,618,255
525,618,255
526,618,255
527,618,255
528,618,255
529,618,255
646,618,255
529,619,255
530,619,255
531,619,255
532,619,255
536,619,255
644,619,255
645,619,255
646,619,255
532,620,255
533,620,255
534,620,255
535,620,255
536,620,255
537,620,255
538,620,255
578,620,255
637,620,255
638,620,255
639,620,255
640,620,255
641,620,255
642,620,255
643,620,255
644,620,255
538,621,255
539,621,255
578,621,255
579,621,255
580,621,255
627,621,255
636,621,255
637,621,255
539,622,255
540,622,255
558,622,255
559,622,255
560,622,255
572,622,255
573,622,255
574,622,255
575,622,255
576,622,255
577,622,255
578,622,255
580,622,255
587,622,255
592,622,255
627,622,255
628,622,255
629,622,255
636,622,255
540,623,255
554,623,255
555,623,255
556,623,255
557,623,255
558,623,255
560,623,255
561,623,255
562,623,255
563,623,255
564,623,255
565,623,255
566,623,255
567,623,255
568,623,255
569,623,255
570,623,255
571,623,255
572,623,255
580,623,255
584,623,255
585,623,255
586,623,255
587,623,255
588,623,255
589,623,255
590,623,255
591,623,255
592,623,255
593,623,255
594,623,255
595,623,255
596,623,255
597,623,255
598,623,255
605,623,255
625,623,255
626,623,255
627,623,255
629,623,255
630,623,255
631,623,255
632,623,255
633,623,255
634,623,255
635,623,255
636,623,255
540,624,255
545,624,255
546,624,255
547,624,255
548,624,255
549,624,255
550,624,255
551,624,255
552,624,255
553,624,255
554,624,255
580,624,255
581,624,255
582,624,255
583,624,255
584,624,255
598,624,255
599,624,255
600,624,255
604,624,255
605,624,255
606,624,255
607,624,255
608,624,255
612,624,255
613,624,255
618,624,255
619,624,255
625,624,255
540,625,255
541,625,255
542,625,255
543,625,255
544,625,255
545,625,255
600,625,255
601,625,255
602,625,255
603,625,255
604,625,255
608,625,255
609,625,255
610,625,255
611,625,255
612,625,255
613,625,255
614,625,255
615,625,255
616,625,255
617,625,255
618,625,255
619,625,255
620,625,255
621,625,255
622,625,255
623,625,255
624,625,255
625,625,255
