 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
17,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,30.17,192.73,126.08,0.48,1.63,0.61,0.85
18,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,139.46,209.28,131.75,0.27,1.37,0.73,0.82
19,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,167.26,228.72,130.42,0.49,1.41,0.71,0.92
20,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,84.98,131.43,133.07,0.46,1.57,0.64,0.87
21,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,79.02,141.37,132.84,0.44,1.38,0.73,0.89
22,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,41.65,194.44,133.35,0.42,1.36,0.74,0.85
23,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,50.05,124.48,139.76,0.43,1.23,0.81,0.85
24,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,33.98,224.10,143.18,0.36,1.50,0.66,0.77
25,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,95.85,132.48,147.00,0.43,1.46,0.69,0.89
26,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,66.66,150.43,149.79,0.26,1.38,0.73,0.78
27,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,60.89,224.71,151.00,0.32,1.63,0.61,0.81
28,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,34.99,236.69,153.98,0.50,1.52,0.66,0.81
29,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,39.72,242.81,155.38,0.44,1.20,0.83,0.82
30,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,38.76,128.75,155.56,0.39,1.17,0.85,0.84
31,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,33.00,137.18,158.83,0.59,1.63,0.61,0.89
32,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,43.52,143.64,158.73,0.38,1.40,0.71,0.81
