 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
48,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,37.88,134.28,216.49,0.40,1.14,0.88,0.79
49,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,128.91,220.86,223.81,0.37,1.58,0.63,0.85
50,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,34.61,118.23,218.95,0.50,1.41,0.71,0.83
51,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,47.89,123.65,227.81,0.52,1.42,0.71,0.87
52,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,124.63,245.43,229.96,0.47,1.21,0.83,0.91
53,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,49.92,126.10,233.19,0.48,1.56,0.64,0.87
54,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,97.28,128.11,242.95,0.56,1.62,0.62,0.93
55,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,121.02,244.07,246.60,0.72,1.15,0.87,0.94
56,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,61.78,110.22,250.14,0.44,1.56,0.64,0.84
57,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,42.92,207.94,250.40,0.43,1.69,0.59,0.81
58,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,37.97,223.46,251.31,0.39,1.32,0.76,0.85
59,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,105.55,150.16,256.87,0.39,1.33,0.75,0.86
60,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,73.12,223.93,258.71,0.48,1.25,0.80,0.88
61,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,74.93,237.42,259.28,0.61,1.36,0.73,0.90
62,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,69.41,188.09,263.49,0.47,1.61,0.62,0.86
63,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,139.53,197.92,267.58,0.49,1.18,0.85,0.89
64,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,110.49,154.48,268.25,0.34,1.40,0.72,0.86
65,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,89.32,181.22,269.80,0.36,1.31,0.76,0.86
66,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,117.02,228.43,272.29,0.66,1.50,0.67,0.91
67,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,70.65,211.46,273.77,0.29,1.86,0.54,0.82
68,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,35.56,168.59,279.08,0.49,1.55,0.64,0.83
69,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,37.81,221.77,279.25,0.31,1.20,0.83,0.77
70,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,101.97,176.47,282.48,0.42,1.23,0.81,0.85
71,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,91.67,154.11,283.18,0.40,1.26,0.79,0.86
72,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,69.76,163.04,284.16,0.45,1.52,0.66,0.87
73,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,124.15,215.98,290.72,0.55,1.40,0.71,0.90
74,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,107.23,196.45,291.33,0.47,1.48,0.68,0.86
75,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,76.17,183.48,292.20,0.47,1.59,0.63,0.86
